id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
2595,Skylit Midtown Castle,2845,Jennifer,40.75362,-73.98377,225,1,46,7/14/19,0.39,2,288,5.416100402,0,0,0,0,0,0
3647,THE VILLAGE OF HARLEM....NEW YORK !,4632,Elisabeth,40.80902,-73.9419,150,3,0,,0,1,365,5.010635294,0,0,0,0,1,0
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,40.68514,-73.95976,89,1,274,7/26/19,4.64,1,212,4.48863637,1,0,0,0,0,0
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,40.74767,-73.975,200,3,75,7/21/19,0.6,1,127,5.298317367,0,0,0,0,0,0
5178,Large Furnished Room Near B'way ,8967,Shunichi,40.76489,-73.98493,79,2,434,7/13/19,3.48,1,239,4.369447852,0,0,0,0,1,0
5222,Best Hideaway,7516,Marilyn,40.72764,-73.97949,116,30,94,6/15/16,0.74,1,322,4.753590191,0,0,0,0,0,0
5295,Beautiful 1br on Upper West Side,7702,Lena,40.80316,-73.96545,135,5,53,6/22/19,0.42,1,1,4.905274778,0,0,0,0,0,0
5441,Central Manhattan/near Broadway,7989,Kate,40.76076,-73.98867,85,2,190,7/21/19,1.5,1,23,4.442651256,0,0,0,0,1,0
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,40.66829,-73.98779,89,4,167,6/24/19,1.33,3,324,4.48863637,1,0,0,0,1,0
6090,West Village Nest - Superhost,11975,Alina,40.7353,-74.00525,120,90,27,10/31/18,0.22,1,4,4.787491743,0,0,0,0,0,0
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,40.70837,-73.95352,140,2,154,8/2/19,1.24,1,23,4.941642423,1,0,0,0,0,0
7097,Perfect for Your Parents + Garden,17571,Jane,40.69169,-73.97185,215,2,200,7/30/19,1.72,1,305,5.370638028,1,0,0,0,0,0
7322,"Chelsea Perfect  by Doti, an AIRBNB  Super Host!",18946,Doti,40.74192,-73.99501,140,1,268,7/25/19,2.17,1,5,4.941642423,0,0,0,0,1,0
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,40.67592,-73.94694,99,3,59,7/29/19,4.59,1,22,4.59511985,1,0,0,0,0,0
7750,Huge 2 BR Upper East  Cental Park,17985,Sing,40.79685,-73.94872,190,7,0,,0,2,275,5.247024072,0,0,0,0,0,0
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,40.68069,-73.97706,115,2,131,7/14/19,1.09,4,117,4.744932128,1,0,0,0,1,0
8110,CBG Helps Haiti Rm #2,22486,Lisel,40.68001,-73.97865,110,2,73,7/28/19,0.63,4,290,4.700480366,1,0,0,0,1,0
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,40.68371,-73.94028,120,2,92,7/21/19,0.76,2,251,4.787491743,1,0,0,0,0,0
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,40.65599,-73.97519,60,1,20,7/29/19,1.35,2,89,4.094344562,1,0,0,0,1,0
9357,Midtown Pied-a-terre,30193,Tommi,40.76715,-73.98533,150,10,58,8/13/17,0.48,1,104,5.010635294,0,0,0,0,0,0
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,40.7292,-73.98542,180,14,29,4/19/19,0.24,1,42,5.192956851,0,0,0,0,0,0
9668,front room/double bed,32294,Ssameer Or Trip,40.82245,-73.95104,50,3,244,7/18/19,2.04,3,341,3.912023005,0,0,0,0,1,0
9704,Spacious 1 bedroom in luxe building,32045,Teri,40.81305,-73.95466,52,2,92,7/20/19,1.46,1,252,3.951243719,0,0,0,0,1,0
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,40.72219,-73.93762,55,4,201,7/22/19,1.67,3,309,4.007333185,1,0,0,0,1,0
9783,back room/bunk beds,32294,Ssameer Or Trip,40.8213,-73.95318,50,3,274,7/9/19,2.35,3,334,3.912023005,0,0,0,0,1,0
